title,console,total_sale,na_sale,pal_sale,japan_sale,other_sale
Wii Sports    ,Wii,82.65,41.36,29.02,3.77,8.51
Super Mario Bros.    ,NES,40.24,29.08,3.58,6.81,0.77
Mario Kart Wii    ,Wii,35.98,15.91,12.92,3.80,3.35
Wii Sports Resort    ,Wii,32.90,15.61,10.99,3.29,3.02
Pokémon Red / Green / Blue Version    ,GB,31.37,11.27,8.89,10.22,1.00
Tetris    ,GB,30.26,23.20,2.26,4.22,0.58
New Super Mario Bros.    ,DS,29.85,11.28,9.19,6.50,2.89
Wii Play    ,Wii,28.92,13.96,9.18,2.93,2.85
New Super Mario Bros. Wii    ,Wii,28.51,14.53,7.01,4.70,2.27
Duck Hunt    ,NES,28.31,26.93,0.63,0.28,0.47
Nintendogs    ,DS,24.68,9.05,10.96,1.93,2.74
Mario Kart DS    ,DS,23.26,9.71,7.51,4.13,1.91
Pokémon Gold / Silver Version    ,GB,23.10,9.00,6.18,7.20,0.71
Wii Fit    ,Wii,22.70,8.92,8.03,3.60,2.15
Kinect Adventures!    ,X360,22.10,15.09,4.97,0.24,1.81
Wii Fit Plus    ,Wii,21.81,9.01,8.51,2.53,1.76
Grand Theft Auto: San Andreas    ,PS2,20.81,9.43,0.40,0.41,10.57
Super Mario World    ,SNES,20.61,12.78,3.75,3.54,0.55
Grand Theft Auto V    ,PS3,20.32,6.37,9.85,0.99,3.12
Brain Age: Train Your Brain in Minutes a Day    ,DS,20.16,4.74,9.21,4.16,2.04
Grand Theft Auto V    ,PS4,19.39,6.06,9.71,0.60,3.02
Pokémon Diamond / Pearl Version    ,DS,18.25,6.38,4.47,6.04,1.36
Super Mario Land    ,GB,18.14,10.83,2.71,4.18,0.42
Super Mario Bros. 3    ,NES,17.28,9.54,3.44,3.84,0.46
Grand Theft Auto: Vice City    ,PS2,16.15,8.41,5.49,0.47,1.78
Pokémon X/Y    ,3DS,16.13,5.68,5.06,4.40,0.99
Grand Theft Auto V    ,X360,15.86,9.06,5.33,0.06,1.42
Pokémon Ruby / Sapphire Version    ,GBA,15.85,6.06,3.90,5.38,0.50
Mario Kart 7    ,3DS,15.49,6.03,5.35,3.00,1.11
Brain Age 2: More Training in Minutes a Day    ,DS,15.29,3.43,5.36,5.32,1.18
Pokémon Black / White Version    ,DS,15.18,5.51,3.20,5.66,0.80
Pokémon Sun/Moon    ,3DS,15.17,6.02,4.34,3.82,0.99
Call of Duty: Black Ops 3    ,PS4,15.09,6.18,6.05,0.41,2.44
Gran Turismo 3: A-Spec    ,PS2,14.98,6.85,5.09,1.87,1.16
Call of Duty: Modern Warfare 3    ,X360,14.82,9.07,4.29,0.13,1.33
Call of Duty: Black Ops    ,X360,14.74,9.76,3.73,0.11,1.14
Pokémon Yellow: Special Pikachu Edition    ,GB,14.64,5.89,5.04,3.12,0.59
Red Dead Redemption 2    ,PS4,13.94,5.26,6.21,0.21,2.26
Call of Duty: Black Ops II    ,X360,13.86,8.27,4.32,0.07,1.20
Call of Duty: Black Ops II    ,PS3,13.80,4.99,5.88,0.65,2.28
Call of Duty: Modern Warfare 2    ,X360,13.53,8.54,3.63,0.08,1.28
Call of Duty: WWII    ,PS4,13.40,4.67,6.21,0.40,2.12
Call of Duty: Modern Warfare 3    ,PS3,13.35,5.54,5.78,0.49,1.54
Grand Theft Auto III    ,PS2,13.10,6.99,4.51,0.30,1.30
Mario Kart 8 Deluxe    ,NS,13.05,5.05,4.98,2.11,0.91
Super Smash Bros. Brawl    ,Wii,12.91,6.64,2.57,2.67,1.03
Pokémon Omega Ruby/Pokémon Alpha Sapphire    ,3DS,12.73,4.78,3.98,3.15,0.82
Call of Duty: Black Ops    ,PS3,12.67,6.01,4.40,0.48,1.78
Animal Crossing: Wild World    ,DS,12.14,2.50,3.46,5.33,0.86
Halo 3    ,X360,12.13,7.97,2.81,0.13,1.21
Super Mario 64    ,N64,11.89,6.91,2.85,1.91,0.23
FIFA 18    ,PS4,11.80,1.27,8.64,0.15,1.73
Pokémon Heart Gold / Soul Silver Version    ,DS,11.78,4.34,2.72,3.96,0.76
Super Mario Odyssey    ,NS,11.71,5.10,3.75,2.02,0.84
Gran Turismo 4    ,PS2,11.66,3.01,0.01,1.10,7.53
Super Mario 3D Land    ,3DS,11.56,5.10,3.46,2.15,0.85
Super Mario Galaxy    ,Wii,11.40,6.06,3.38,1.20,0.76
New Super Mario Bros. 2    ,3DS,11.33,3.95,4.07,2.59,0.72
Super Mario Land 2: 6 Golden Coins    ,GB,11.18,6.16,2.04,2.69,0.29
Grand Theft Auto IV    ,X360,11.09,6.80,3.11,0.14,1.04
Gran Turismo    ,PS,10.95,4.02,3.87,2.54,0.52
FIFA 17    ,PS4,10.94,1.26,7.95,0.12,1.61
Animal Crossing: New Leaf    ,3DS,10.90,2.46,3.06,4.90,0.48
Gran Turismo 5    ,PS3,10.75,2.96,4.87,0.81,2.10
Call of Duty: Modern Warfare 2    ,PS3,10.61,4.99,3.66,0.38,1.59
Grand Theft Auto IV    ,PS3,10.57,4.79,3.73,0.44,1.62
Super Mario All-Stars    ,SNES,10.55,5.99,2.15,2.12,0.29
Pokémon FireRed / LeafGreen Version    ,GBA,10.49,4.34,2.65,3.15,0.35
Call of Duty: Ghosts    ,X360,10.41,6.76,2.64,0.04,0.98
Uncharted 4: A Thief's End    ,PS4,10.33,4.49,3.93,0.21,1.70
Just Dance 3    ,Wii,10.14,5.95,3.13,N/A,1.06
Call of Duty: Ghosts    ,PS3,10.13,4.11,4.01,0.39,1.62
Halo: Reach    ,X360,9.97,7.08,2.01,0.08,0.80
Halo 4    ,X360,9.96,6.72,2.36,0.04,0.83
Mario Kart 64    ,N64,9.87,5.55,1.94,2.23,0.15
Minecraft    ,X360,9.82,5.96,2.94,0.02,0.90
Final Fantasy VII    ,PS,9.72,3.01,2.47,3.28,0.96
Gran Turismo 2    ,PS,9.49,3.88,3.42,1.69,0.50
The Legend of Zelda: Breath of the Wild    ,NS,9.46,4.54,2.94,1.26,0.73
Just Dance 2    ,Wii,9.45,5.80,2.86,0.01,0.77
Call of Duty 4: Modern Warfare    ,X360,9.41,5.98,2.39,0.13,0.91
Call of Duty: Black Ops IIII    ,PS4,9.32,4.05,3.28,0.50,1.49
Donkey Kong Country    ,SNES,9.30,4.36,1.71,3.00,0.23
FIFA 19    ,PS4,9.15,0.84,6.87,0.10,1.34
Super Smash Bros. Ultimate    ,NS,8.95,4.22,1.72,2.41,0.61
Mario Party DS    ,DS,8.93,4.40,1.86,1.98,0.69
The Elder Scrolls V: Skyrim    ,X360,8.88,5.10,2.83,0.10,0.85
Super Mario Kart    ,SNES,8.76,3.54,1.24,3.81,0.18
Marvel's Spider-Man    ,PS4,8.76,3.64,3.39,0.32,1.41
Grand Theft Auto V    ,XOne,8.72,4.70,3.25,0.01,0.76
Halo 2    ,XB,8.49,6.82,1.53,0.05,0.08
Call of Duty: Infinite Warfare    ,PS4,8.48,3.11,3.83,0.19,1.36
Fallout 4    ,PS4,8.48,2.91,3.97,0.27,1.34
Wii Party    ,Wii,8.41,1.75,3.51,2.49,0.66
Super Smash Bros. for 3DS    ,3DS,8.32,3.73,1.50,2.55,0.54
Mario Party 8    ,Wii,8.30,3.74,2.27,1.58,0.70
FIFA 16    ,PS4,8.22,1.15,5.77,0.07,1.23
Pokémon Black 2 and White 2    ,DS,8.16,2.79,1.79,3.16,0.43
GoldenEye 007    ,N64,8.09,5.80,2.01,0.13,0.15
Final Fantasy X    ,PS2,8.05,2.91,2.07,2.73,0.33
Star Wars Battlefront (2015)    ,PS4,8.03,3.31,3.19,0.23,1.30
FIFA 13    ,PS3,8.01,1.07,5.13,0.13,1.68
Mario & Sonic at the Olympic Games    ,Wii,8.00,2.57,3.87,0.66,0.90
The Sims 3    ,PC,7.96,1.01,6.46,N/A,0.50
Final Fantasy VIII    ,PS,7.86,2.28,1.72,3.63,0.23
Pac-Man    ,2600,7.81,7.28,0.45,N/A,0.08
Pokémon Platinum Version    ,DS,7.72,2.76,1.73,2.69,0.54
Grand Theft Auto: Liberty City Stories    ,PSP,7.72,2.90,2.83,0.24,1.74
Mario Kart 8    ,WiiU,7.69,3.22,2.55,1.39,0.54
The Legend of Zelda: Ocarina of Time    ,N64,7.60,4.10,1.89,1.45,0.16
Crash Bandicoot 2: Cortex Strikes Back    ,PS,7.58,3.78,2.17,1.31,0.31
Super Mario Galaxy 2    ,Wii,7.57,3.59,2.37,0.98,0.62
Call of Duty: Advanced Warfare    ,PS4,7.53,2.84,3.34,0.14,1.22
Call of Duty: World at War    ,X360,7.50,4.88,1.91,N/A,0.71
Super Mario Bros. 2    ,NES,7.46,5.39,1.18,0.70,0.19
Call of Duty: Black Ops 3    ,XOne,7.37,4.63,2.04,0.02,0.68
Battlefield 3    ,X360,7.35,4.47,2.12,0.06,0.69
Battlefield 1    ,PS4,7.26,2.20,3.65,0.29,1.12
Battlefield 3    ,PS3,7.21,2.86,2.94,0.35,1.07
Just Dance    ,Wii,7.21,3.48,2.99,N/A,0.73
Need for Speed Underground    ,PS2,7.20,3.27,2.83,0.08,1.02
The Legend of Zelda: Twilight Princess    ,Wii,7.18,3.74,2.16,0.60,0.69
Tekken 3    ,PS,7.16,3.27,2.22,1.40,0.29
Pokémon: Ultra Sun and Ultra Moon    ,3DS,7.15,2.46,1.74,2.55,0.40
Crash Bandicoot 3: Warped    ,PS,7.13,3.68,1.75,1.42,0.28
Super Smash Bros. Melee    ,GC,7.07,4.41,1.04,1.39,0.22
Splatoon 2    ,NS,7.04,1.90,1.80,3.01,0.34
Mario Kart: Double Dash!!    ,GC,6.95,4.12,1.77,0.87,0.19
Need for Speed Underground 2    ,PS2,6.90,2.71,3.02,0.08,1.09
Just Dance 4    ,Wii,6.89,4.05,2.21,N/A,0.62
Uncharted 3: Drake's Deception    ,PS3,6.84,2.77,2.81,0.19,1.06
Medal of Honor: Frontline    ,PS2,6.83,2.93,2.75,0.17,0.99
Crash Bandicoot    ,PS,6.82,3.23,2.35,0.94,0.30
The Last of Us Remastered    ,PS4,6.77,2.70,2.86,0.11,1.10
Zumba Fitness    ,Wii,6.76,3.47,2.62,N/A,0.67
Gears of War 2    ,X360,6.75,4.15,1.91,0.06,0.64
Uncharted 2: Among Thieves    ,PS3,6.74,3.28,2.22,0.21,1.02
Call of Duty 4: Modern Warfare    ,PS3,6.72,3.13,2.27,0.28,1.04
FIFA Soccer 12    ,PS3,6.65,0.84,4.33,0.11,1.37
Big Brain Academy    ,DS,6.63,1.66,2.75,1.60,0.62
FIFA 14    ,PS3,6.61,0.79,4.77,0.07,0.98
Red Dead Redemption    ,PS3,6.57,2.82,2.58,0.17,1.00
The Legend of Zelda    ,NES,6.51,3.74,0.93,1.69,0.14
Donkey Kong Country Returns    ,Wii,6.50,3.19,1.81,1.03,0.47
Assassin's Creed III    ,PS3,6.50,2.65,2.61,0.16,1.08
Red Dead Redemption    ,X360,6.50,3.77,2.03,0.09,0.60
The Elder Scrolls V: Skyrim    ,PS3,6.49,2.57,2.68,0.25,0.99
Halo: Combat Evolved    ,XB,6.43,4.98,1.30,0.08,0.07
Pokémon Emerald Version    ,GBA,6.41,2.57,1.58,2.06,0.21
Kingdom Hearts    ,PS2,6.40,3.64,1.20,1.49,0.07
Pokémon Crystal Version    ,GBC,6.39,2.55,1.56,1.29,0.99
World of Warcraft    ,PC,6.35,0.12,6.24,N/A,N/A
Halo 3: ODST    ,X360,6.35,4.34,1.34,0.06,0.61
Minecraft    ,PS4,6.33,1.89,3.13,0.35,0.96
FIFA 15    ,PS4,6.32,0.83,4.49,0.05,0.94
Super Mario Sunshine    ,GC,6.31,4.01,1.26,0.87,0.17
Street Fighter II: The World Warrior    ,SNES,6.30,2.47,0.83,2.87,0.12
